Datetime,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BB(%),BCbb,BCff
25.03.2022 08:11,8734,8831,8506,8226,7945,7706,7787,13.2,1048.74,6896.26
25.03.2022 08:12,8680,8822,8452,8165,7897,7731,7875,11.8,931.8460000000001,6965.154
25.03.2022 08:13,11570,11948,11561,11244,10930,10649,10849,10.0,1093.0,9837.0
25.03.2022 08:14,11201,11477,11118,10780,10443,10243,10367,10.5,1096.515,9346.485
25.03.2022 08:15,9962,10207,9801,9500,9208,8942,9125,11.7,1077.336,8130.664
25.03.2022 08:16,9054,9142,8781,8504,8239,8019,8092,12.8,1054.592,7184.408
25.03.2022 08:17,8710,8856,8480,8231,7934,7779,7849,12.6,999.684,6934.316000000001
25.03.2022 08:18,8722,8816,8471,8159,7926,7713,7870,11.8,935.268,6990.732
25.03.2022 08:19,8702,8815,8486,8239,7953,7703,7861,11.9,946.407,7006.592999999999
25.03.2022 08:20,8577,8743,8389,8092,7816,7590,7733,12.8,1000.448,6815.552
25.03.2022 08:21,8632,8725,8358,8106,7850,7684,7750,12.4,973.4,6876.599999999999
25.03.2022 08:22,8417,8552,8237,7954,7679,7473,7613,12.1,929.159,6749.841
25.03.2022 08:23,8538,8655,8339,8045,7790,7594,7667,12.7,989.33,6800.67
25.03.2022 08:24,8493,8620,8296,8014,7780,7461,7578,13.5,1050.3,6729.7
25.03.2022 08:25,8385,8510,8171,7879,7623,7445,7593,11.9,907.1370000000001,6715.862999999999
25.03.2022 08:26,8499,8593,8241,7978,7694,7474,7612,12.7,977.138,6716.862
25.03.2022 08:27,8683,8805,8448,8175,7882,7674,7700,14.1,1111.362,6770.638000000001
25.03.2022 08:28,8802,8951,8578,8274,7967,7743,7913,12.9,1027.743,6939.257
25.03.2022 08:29,9025,9139,8818,8469,8278,7989,8139,12.1,1001.638,7276.362
25.03.2022 08:30,9187,9319,8963,8701,8349,8142,8175,13.8,1152.162,7196.838
25.03.2022 08:31,9102,9298,8857,8578,8340,8040,8229,12.8,1067.52,7272.48
25.03.2022 08:32,8412,8586,8260,7949,7657,7448,7623,12.4,949.468,6707.531999999999
25.03.2022 08:33,9122,9237,8875,8582,8308,8120,8209,12.3,1021.884,7286.116
25.03.2022 08:34,8966,9062,8718,8408,8123,7917,8036,12.6,1023.498,7099.502000000001
25.03.2022 08:35,8878,9070,8700,8425,8105,7784,7927,14.2,1150.91,6954.09
25.03.2022 08:36,9155,9235,8855,8535,8260,8048,8193,12.5,1032.5,7227.5
25.03.2022 08:37,8938,9100,8727,8398,8142,7890,7986,13.7,1115.454,7026.546
25.03.2022 08:38,8863,8997,8614,8323,8061,7758,7889,13.8,1112.418,6948.582
25.03.2022 08:39,8896,9061,8697,8395,8070,7857,7969,13.5,1089.45,6980.55
25.03.2022 08:40,8997,9087,8720,8422,8153,7923,8009,13.2,1076.196,7076.804
25.03.2022 08:41,9053,9220,8807,8488,8190,7913,8039,14.4,1179.36,7010.639999999999
25.03.2022 08:42,9192,9273,8875,8559,8264,7975,8063,14.7,1214.808,7049.192
25.03.2022 08:43,8963,9078,8751,8452,8174,7893,8011,13.1,1070.794,7103.206000000001
25.03.2022 08:44,8278,8434,8078,7754,7500,7317,7472,12.7,952.5,6547.5
25.03.2022 08:45,7360,7499,7180,6956,6735,6473,6597,13.5,909.225,5825.775
25.03.2022 08:46,7327,7447,7174,6943,6684,6520,6639,12.0,802.0799999999999,5881.92
25.03.2022 08:47,7826,7963,7645,7396,7164,6902,7005,13.4,959.9760000000001,6204.024
25.03.2022 08:48,8246,8332,7992,7720,7475,7175,7292,14.0,1046.5,6428.5
25.03.2022 08:49,7932,8111,7784,7520,7263,7107,7148,13.2,958.716,6304.284
25.03.2022 08:50,7464,7538,7271,6993,6768,6530,6642,13.3,900.144,5867.856
25.03.2022 08:51,6764,6941,6610,6401,6197,5992,6135,12.9,799.413,5397.587
25.03.2022 08:52,6642,6754,6487,6276,6039,5878,6005,12.3,742.797,5296.203
25.03.2022 08:53,6704,6793,6547,6273,6074,5844,5927,14.4,874.6560000000001,5199.344
25.03.2022 08:54,6116,6249,5937,5722,5572,5356,5410,15.2,846.944,4725.056
25.03.2022 08:55,6326,6315,6077,5910,5654,5430,5497,14.6,825.4839999999999,4828.516000000001
25.03.2022 08:56,6259,6360,6102,5857,5706,5502,5576,13.8,787.4280000000001,4918.572
25.03.2022 08:57,6020,6045,5820,5619,5377,5176,5285,14.1,758.1569999999999,4618.843000000001
25.03.2022 08:58,5870,6029,5724,5532,5328,5178,5235,14.9,793.872,4534.128
25.03.2022 08:59,5735,5794,5557,5353,5196,4979,5072,14.0,727.44,4468.559999999999
25.03.2022 09:00,5669,5723,5514,5339,5143,4908,4910,16.3,838.3090000000001,4304.691000000001
25.03.2022 09:01,5515,5553,5304,5110,4936,4771,4829,14.7,725.592,4210.408
25.03.2022 09:02,5243,5348,5121,4918,4732,4497,4645,14.9,705.068,4026.932
25.03.2022 09:03,5808,5819,5598,5414,5205,5088,5119,13.4,697.47,4507.53
25.03.2022 09:04,5372,5449,5212,5018,4873,4657,4733,14.9,726.077,4146.923
25.03.2022 09:05,5350,5508,5325,5129,4934,4742,4826,13.9,685.826,4248.174
25.03.2022 09:06,5178,5298,5086,4862,4726,4487,4473,18.1,855.4060000000001,3870.594000000001
25.03.2022 09:07,4505,4691,4421,4332,4126,3991,4097,14.3,590.018,3535.982
25.03.2022 09:08,5057,5062,4900,4737,4592,4366,4419,14.3,656.6560000000001,3935.344
25.03.2022 09:09,5301,5328,5149,4894,4709,4538,4573,16.2,762.8580000000001,3946.142
25.03.2022 09:10,4627,4748,4521,4406,4232,4103,4207,12.7,537.464,3694.536
25.03.2022 09:11,3955,4026,3885,3714,3652,3409,3490,15.1,551.452,3100.548
25.03.2022 09:12,4127,4177,4052,3860,3693,3601,3645,14.3,528.099,3164.901
25.03.2022 09:13,4251,4344,4069,4019,3849,3646,3688,17.5,673.5749999999999,3175.425
25.03.2022 09:14,4192,4244,4103,3927,3798,3642,3674,15.3,581.0939999999999,3216.906
25.03.2022 09:15,4185,4241,4080,3829,3747,3548,3538,19.5,730.6650000000001,3016.335
25.03.2022 09:16,3824,3881,3712,3614,3462,3339,3447,12.4,429.288,3032.712
25.03.2022 09:17,3812,3863,3674,3644,3492,3310,3315,16.2,565.7040000000001,2926.296
25.03.2022 09:18,3718,3780,3622,3462,3286,3152,3211,17.4,571.764,2714.236
25.03.2022 09:19,3527,3563,3462,3325,3270,3061,3098,14.7,480.69,2789.31
25.03.2022 09:20,3447,3496,3346,3189,3019,2930,2992,16.5,498.135,2520.865
25.03.2022 09:21,3211,3321,3157,3038,2978,2790,2804,18.1,539.018,2438.982
25.03.2022 09:22,3417,3423,3315,3174,3027,2925,2924,16.7,505.509,2521.491
25.03.2022 09:23,3695,3752,3616,3472,3365,3118,3212,16.5,555.225,2809.775
25.03.2022 09:24,3700,3786,3617,3484,3345,3218,3227,17.0,568.6500000000001,2776.35
25.03.2022 09:25,3669,3664,3504,3386,3264,3105,3127,16.9,551.616,2712.384
25.03.2022 09:26,3621,3694,3594,3476,3301,3125,3151,16.9,557.8689999999999,2743.131
25.03.2022 09:27,3151,3243,3041,2951,2882,2797,2873,12.6,363.132,2518.868
25.03.2022 09:28,3446,3520,3361,3243,3133,2918,2942,19.3,604.669,2528.331
25.03.2022 09:29,3307,3343,3228,3102,2978,2807,2861,16.6,494.348,2483.652
25.03.2022 09:30,3020,3103,2941,2772,2683,2613,2630,17.7,474.891,2208.109
25.03.2022 09:31,3201,3233,3103,3050,2908,2749,2764,16.6,482.728,2425.272
25.03.2022 09:32,3562,3565,3469,3304,3220,3007,3114,14.3,460.46,2759.54
25.03.2022 09:33,3653,3834,3597,3493,3347,3234,3241,18.0,602.4599999999999,2744.54
25.03.2022 09:34,3655,3689,3565,3424,3297,3094,3164,16.3,537.4110000000001,2759.589
25.03.2022 09:35,3371,3446,3317,3220,3139,3011,2982,15.3,480.267,2658.733
25.03.2022 09:36,3390,3393,3288,3139,3007,2852,2993,13.1,393.917,2613.083000000001
25.03.2022 09:37,3190,3190,3087,2989,2840,2763,2754,15.5,440.2,2399.8
25.03.2022 09:38,2659,2791,2633,2509,2451,2246,2244,24.0,588.24,1862.76
25.03.2022 09:39,2405,2479,2382,2286,2195,2069,2111,17.2,377.54,1817.46
25.03.2022 09:40,2236,2269,2188,2088,2052,1935,1934,17.0,348.84,1703.16
25.03.2022 09:41,2295,2343,2240,2187,2060,1915,1956,19.4,399.6399999999999,1660.36
25.03.2022 09:42,2372,2468,2364,2221,2105,2036,2094,17.6,370.48,1734.52
25.03.2022 09:43,2436,2462,2375,2313,2242,2059,2079,18.1,405.802,1836.198
25.03.2022 09:44,2498,2490,2460,2307,2268,2122,2158,15.1,342.468,1925.532
25.03.2022 09:45,2314,2437,2231,2215,2045,1967,1988,22.2,453.99,1591.01
25.03.2022 09:46,2548,2460,2414,2292,2257,2021,2045,19.9,449.143,1807.857
25.03.2022 09:47,2430,2536,2424,2343,2183,2113,2117,19.5,425.685,1757.315
25.03.2022 09:48,2438,2522,2366,2245,2236,2099,2075,21.1,471.796,1764.204
25.03.2022 09:49,2534,2578,2469,2391,2286,2129,2216,16.1,368.046,1917.954
25.03.2022 09:50,0,0,0,0,0,0,0,0.0,0.0,0.0
25.03.2022 09:51,0,0,0,0,0,0,0,0.0,0.0,0.0
25.03.2022 09:52,0,0,0,0,0,0,0,0.0,0.0,0.0
25.03.2022 09:53,0,0,0,0,0,0,0,0.0,0.0,0.0
25.03.2022 09:54,2639,2397,2367,2323,2225,2077,2067,15.7,349.325,1875.675
25.03.2022 09:55,2614,2357,2314,2230,2128,1972,2017,16.5,351.12,1776.88
25.03.2022 09:56,2635,2429,2337,2270,2152,2018,2048,18.3,393.816,1758.184
25.03.2022 09:57,2615,2410,2334,2228,2131,2038,1991,20.7,441.117,1689.883
25.03.2022 09:58,2582,2413,2304,2248,2128,1987,2021,19.1,406.448,1721.552
25.03.2022 09:59,2646,2472,2358,2272,2158,2041,2042,20.7,446.706,1711.294
25.03.2022 10:00,2693,2509,2412,2307,2208,2073,2053,21.8,481.344,1726.656
25.03.2022 10:01,2665,2470,2385,2286,2150,2014,1995,23.4,503.1,1646.9
25.03.2022 10:02,2619,2460,2352,2266,2169,2040,2055,19.4,420.7859999999999,1748.214
25.03.2022 10:03,2618,2466,2329,2252,2148,2051,2049,20.0,429.6,1718.4
25.03.2022 10:04,2679,2512,2415,2312,2212,2053,2052,22.0,486.64,1725.36
25.03.2022 10:05,2700,2542,2419,2333,2211,2051,2062,22.8,504.108,1706.892
25.03.2022 10:06,2739,2565,2441,2326,2232,2080,1983,28.8,642.816,1589.184
25.03.2022 10:07,2709,2566,2445,2382,2271,2207,2266,13.0,295.23,1975.77
25.03.2022 10:08,2969,2830,2692,2577,2477,2369,2369,19.1,473.107,2003.893
25.03.2022 10:09,2837,2685,2574,2473,2353,2235,2226,20.3,477.659,1875.341
25.03.2022 10:10,2698,2549,2432,2349,2249,2109,2156,17.9,402.571,1846.429
25.03.2022 10:11,2798,2637,2511,2422,2299,2221,2170,21.1,485.0890000000001,1813.911
25.03.2022 10:12,2865,2718,2601,2460,2373,2240,2246,20.7,491.211,1881.789
25.03.2022 10:13,2886,2727,2592,2525,2393,2302,2288,18.8,449.884,1943.116
25.03.2022 10:14,2881,2748,2636,2530,2429,2287,2274,20.5,497.945,1931.055
25.03.2022 10:15,3163,3041,2911,2769,2663,2532,2552,18.8,500.644,2162.356
25.03.2022 10:16,3038,2930,2796,2715,2606,2500,2481,17.8,463.8680000000001,2142.132
25.03.2022 10:17,3088,2952,2824,2710,2597,2459,2469,19.2,498.624,2098.376
25.03.2022 10:18,3129,3025,2883,2787,2671,2631,2597,16.2,432.702,2238.298
25.03.2022 10:19,3395,3276,3163,3092,2956,2821,2880,13.5,399.06,2556.94
25.03.2022 10:20,3166,3068,2927,2833,2729,2641,2615,17.0,463.93,2265.07
25.03.2022 10:21,3058,2983,2869,2765,2660,2561,2557,16.4,436.24,2223.76
25.03.2022 10:22,3050,2962,2854,2759,2648,2594,2576,14.7,389.256,2258.744
25.03.2022 10:23,2975,2880,2757,2662,2545,2441,2493,15.3,389.385,2155.615
25.03.2022 10:24,2877,2769,2638,2526,2455,2352,2329,18.5,454.175,2000.8249999999998
